Bathrooms,Bedrooms,Beds,LocationName,NumGuests,NumReviews,Price,Rating,latitude,longitude,zipcode,pop2016,pop2010,pop2000,cost_living_index (US avg. = 100),land_area (sq.mi.),water_area (sq.mi.),pop_density (people per mile),number of males,number of females,prop taxes paid 2016,median taxes (with mortgage,median taxes (no mortgage),median house value,median houshold income,median monthly owner costs (with mortgage),median monthly owner costs (no mortgage),median gross rent,median asking price for vacant for-sale home/condo,unemployment (%),Number of Homes,Count of Abnb,Density of Abnb (%),Average Abnb Price (by zipcode),Average NumReviews (by zipcode),Average Rating (by zipcode),Average Number of Bathrooms (by zipcode),Average Number of Bedrooms (by zipcode),Average Number of Beds (by zipcode),Average Number of Guests (by zipcode)
1.0,1.0,2.0,San Francisco,3.0,3.0,89.0,Y,37.77867,-122.44119,94117,43944.0,39169.0,38738,156.4,1.7,0.0,26041,23111,20833,0.6,8333.0,4956.0,1205027.0,127338.0,3789.0,906.0,1952.0,1173153.0,4.2,17577.6,458,2.605588931,181.9954442,78.35,4.883838384,1.427927928,1.4302884619999998,1.653932584,1.653932584
1.0,1.0,1.0,San Diego,2.0,11.0,31.0,Y,32.72078,-117.1154,92102,45420.0,43267.0,47123,134.1,4.6,0.0,9799,23694,21727,0.5,2211.0,852.0,360942.0,44226.0,1667.0,326.0,1141.0,401922.0,5.7,18168.0,438,2.410832232,130.0616114,53.12188366,4.85,1.240825688,1.6868686869999998,2.342465753,2.342465753
1.0,1.0,1.0,San Diego,1.0,23.0,56.0,Y,32.79562,-117.20353,92117,55270.0,51332.0,51203,135.2,8.8,0.0,6289,28137,27133,0.5,3569.0,1419.0,559061.0,69047.0,2216.0,431.0,1463.0,537896.0,5.7,22108.0,262,1.18509137,123.6015936,30.56684492,4.835329341,1.357692308,1.692307692,2.045801527,2.045801527
1.0,1.0,1.0,San Francisco,2.0,115.0,50.0,N,37.7667,-122.41826,94103,26116.0,27170.0,23016,167.8,1.4,0.0,19259,15354,10763,0.9,7500.0,7701.0,814561.0,48054.0,3471.0,967.0,1064.0,921350.0,5.0,10446.4,150,1.4359013630000002,176.0,78.62307692,4.9375,1.22147651,1.174825175,1.322147651,1.322147651
2.0,2.0,2.0,Boston,4.0,39.0,150.0,N,42.37746,-71.0507,2113,7602.0,6915.0,6401,139.6,0.1,0.0,75487,3801,3800,0.9,4905.0,6026.0,575265.0,89666.0,2543.0,875.0,1837.0,808477.0,1.5,3040.8,71,2.334911865,153.49295769999995,84.75362319,4.710144928,1.112676056,1.7121212119999998,2.281690141,2.281690141
1.0,1.0,1.0,San Diego,2.0,12.0,35.0,Y,32.7256,-117.05216,92114,70687.0,65433.0,66837,130.8,8.2,0.0,8581,35451,35236,0.6,2279.0,1286.0,359832.0,60444.0,1804.0,373.0,1312.0,400734.0,10.7,28274.8,55,0.194519501,71.81818182,20.17948718,4.828571429,1.283018868,1.37037037,1.759259259,1.759259259
2.0,2.0,2.0,Sunny Isles Beach,5.0,41.0,85.0,N,25.93134,-80.12829,33141,40307.0,35249.0,36545,111.9,2.3,5.2,17406,21026,19282,0.9,2806.0,2559.0,313216.0,43893.0,2038.0,804.0,1163.0,2404330.0,4.6,16122.8,829,5.141786786,123.4434889,25.91878981,4.756521739,1.507246377,1.754226268,2.530193237,2.530193237
1.0,1.0,1.0,San Francisco,2.0,5.0,199.0,Y,37.79843,-122.42447,94109,56822.0,55984.0,56322,161.6,1.2,0.1,47834,29302,27521,0.8,8065.0,5908.0,946308.0,73990.0,3438.0,980.0,1585.0,2053561.0,3.2,22728.8,177,0.778747668,267.0116959,48.55629139,4.829931973,1.242774566,1.608974359,2.011428571,2.011428571
1.0,1.0,1.0,San Francisco,2.0,105.0,77.0,N,37.72701,-122.44153,94112,85205.0,79407.0,73104,154.3,3.4,0.0,25329,42842,42363,0.6,5161.0,2870.0,733316.0,80598.0,2636.0,471.0,1647.0,833728.0,6.5,34082.0,478,1.402499853,120.5779221,55.12594458,4.797979798,1.219088937,1.515625,1.896995708,1.896995708
1.0,2.0,3.0,Burlingame,5.0,4.0,219.0,Y,37.59226,-122.3793,94134,42274.0,40798.0,40134,155.2,2.4,0.0,17616,20688,21586,0.6,5453.0,1813.0,693470.0,69701.0,2553.0,415.0,1437.0,635000.0,6.8,16909.6,1101,6.51109429,154.094518,48.45338442,4.845794393,1.322878229,1.549407115,1.934862385,1.934862385
1.0,1.0,1.0,San Diego,3.0,103.0,95.0,N,32.71139,-117.15742,92101,37385.0,37095.0,27494,136.9,4.7,0.2,7926,21906,15481,0.9,4808.0,5069.0,538860.0,59582.0,2718.0,1002.0,1461.0,609160.0,4.8,14954.0,708,4.734519192,124.1310541,52.78267974,4.779187817,1.223011364,1.434782609,2.131355932,2.131355932
1.0,1.0,2.0,Seattle,3.0,56.0,138.0,N,47.60017,-122.33042,98104,14189.0,13095.0,13095,123.9,0.8,0.1,18310,8676,5514,0.8,3040.0,4143.0,429534.0,35433.0,1957.0,848.0,972.0,613354.0,5.5,5675.6,88,1.550496864,104.8045977,74.42028986,4.75,1.068181818,1.181818182,1.488636364,1.488636364
1.0,2.0,3.0,New Orleans,4.0,41.0,80.0,Y,29.9794,-90.07158000000003,70116,11761.0,11507.0,16688,102.7,1.3,0.1,9105,6321,5440,0.8,2543.0,2041.0,276478.0,32017.0,1874.0,554.0,919.0,203035.0,10.7,4704.4,703,14.94345719,94.17191977,83.96723869,4.823667712,1.211126961,1.524242424,2.06685633,2.06685633
1.0,1.0,1.0,Atlanta,2.0,10.0,65.0,N,33.758790000000005,-84.3526,30307,19520.0,18004.0,16646,99.2,4.6,0.0,4274,9748,9771,1.1,5331.0,4864.0,458614.0,83765.0,2301.0,809.0,1123.0,381747.0,3.1,7808.0,130,1.6649590159999998,119.9147287,44.06315789,4.8928571430000005,1.292307692,1.603305785,1.953846154,1.953846154
3.0,3.0,3.0,New Orleans,8.0,16.0,185.0,Y,29.975,-90.03854,70117,24945.0,23389.0,51252,99.8,5.5,0.8,4552,11913,13031,0.5,1307.0,607.0,177141.0,28440.0,1281.0,405.0,910.0,176336.0,7.9,9978.0,386,3.868510724,106.5807292,73.79096045,4.829971182,1.329015544,1.798941799,2.393782383,2.393782383
1.0,3.0,3.0,Boston,6.0,6.0,180.0,N,42.25934,-71.11780999999998,2136,32217.0,28488.0,28392,135.7,4.6,0.1,7019,15013,17203,0.6,2412.0,2132.0,378035.0,64691.0,1997.0,557.0,1112.0,1207546.0,6.2,12886.8,22,0.170717323,75.09090909,23.52631579,4.8611111110000005,1.090909091,1.45,1.727272727,1.727272727
1.0,1.0,1.0,San Francisco,2.0,26.0,239.0,Y,37.79356,-122.43017,94109,56822.0,55984.0,56322,161.6,1.2,0.1,47834,29302,27521,0.8,8065.0,5908.0,946308.0,73990.0,3438.0,980.0,1585.0,2053561.0,3.2,22728.8,177,0.778747668,267.0116959,48.55629139,4.829931973,1.242774566,1.608974359,2.011428571,2.011428571
